movie_title,rating,genre,in_theaters_date,on_streaming_date,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
Staying Alive,PG,"Drama, Musical & Performing Arts, Romance",1983-07-15,2002-10-08,93,Rotten,0,25,Spilled,39,17932,6,0,25
Jaws 3,PG,"Action & Adventure, Horror, Mystery & Suspense",1983-07-22,2003-06-03,99,Rotten,10,31,Spilled,17,187691,4,3,28
Mr. Mom,PG,"Comedy, Drama",1983-07-22,2001-05-15,92,Fresh,82,22,Spilled,57,36748,1,18,4
Krull,PG,"Action & Adventure, Science Fiction & Fantasy",1983-07-29,2001-04-03,120,Rotten,32,19,Spilled,51,29877,1,6,13
National Lampoon's Vacation,R,Comedy,1983-07-29,1997-08-27,98,Certified Fresh,93,43,Upright,85,113393,5,40,3
Risky Business,R,Comedy,1983-08-05,1997-08-27,99,Certified Fresh,96,47,Upright,72,71117,6,45,2
Cujo,R,"Horror, Mystery & Suspense",1983-08-12,2001-08-21,94,Fresh,61,38,Spilled,45,53442,5,23,15
Strange Brew,R,Comedy,1983-08-19,2002-10-01,90,Fresh,74,23,Upright,81,32227,2,17,6
The Big Chill,R,"Comedy, Drama, Musical & Performing Arts",1983-09-28,1999-01-26,103,Fresh,68,37,Upright,77,22264,8,25,12
Never Say Never Again,PG,"Action & Adventure, Mystery & Suspense",1983-10-07,2000-10-17,137,Fresh,67,49,Spilled,37,52458,9,33,16
Rumble Fish,R,Drama,1983-10-07,1998-09-08,95,Fresh,70,30,Upright,80,23454,6,21,9
All the Right Moves,R,Drama,1983-10-21,2002-03-05,91,Rotten,52,21,Spilled,39,12457,5,11,10
The Dead Zone,R,"Horror, Mystery & Suspense, Science Fiction & Fantasy",1983-10-21,2000-09-19,103,Certified Fresh,91,45,Upright,77,36329,5,41,4
A Christmas Story,PG,"Comedy, Drama, Kids & Family",1983-11-18,1999-09-28,93,Certified Fresh,89,57,Upright,88,285689,7,51,6
Amityville: The Demon,PG,Horror,1983-11-18,2005-04-05,98,Rotten,5,20,Spilled,19,11253,3,1,19
Terms of Endearment,PG,"Comedy, Drama, Romance",1983-11-23,2001-04-10,132,Certified Fresh,84,45,Upright,84,36274,9,38,7
Scarface,R,"Action & Adventure, Drama, Mystery & Suspense",1983-12-09,2003-09-30,170,Certified Fresh,81,69,Upright,94,488251,15,56,13
Jackie Chan's Project A ('A' gai wak) (Pirate Patrol),PG-13,"Action & Adventure, Art House & International, Comedy",1983-12-22,2003-11-04,95,Fresh,82,11,Upright,83,10014,1,9,2
Children of the Corn,R,"Cult Movies, Horror, Mystery & Suspense",1984-01-01,2001-04-10,93,Rotten,36,25,Spilled,40,84908,0,9,16
Missing in Action,R,Action & Adventure,1984-01-01,2000-06-13,101,Rotten,20,15,Spilled,42,12319,1,3,12
Purple Rain,R,"Drama, Musical & Performing Arts, Romance",1984-01-01,2004-08-23,111,Fresh,68,53,Upright,78,47113,9,36,17
Sixteen Candles,PG,Comedy,1984-01-01,2000-10-10,93,Fresh,87,39,Upright,85,256879,8,34,5
Footloose,PG,"Drama, Musical & Performing Arts, Romance",1984-02-17,2002-10-08,107,Rotten,51,39,Upright,71,270239,6,20,19
Repo Man,R,"Comedy, Science Fiction & Fantasy",1984-03-02,2000-08-28,93,Certified Fresh,98,44,Upright,79,31730,5,43,1
This Is Spinal Tap,R,Comedy,1984-03-02,1998-07-14,83,Certified Fresh,95,64,Upright,92,127037,10,61,3
Police Academy,R,Comedy,1984-03-23,1997-09-30,102,Rotten,54,28,Upright,64,194499,7,15,13
"Greystoke: The Legend of Tarzan, Lord of the Apes",PG,"Action & Adventure, Art House & International, Drama, Kids & Family",1984-03-30,2004-06-08,130,Fresh,71,14,Upright,60,15019,1,10,4
Romancing the Stone,PG,Action & Adventure,1984-03-30,2001-08-14,110,Certified Fresh,86,49,Upright,69,77544,7,42,7
The Toxic Avenger,R,"Comedy, Cult Movies, Horror, Science Fiction & Fantasy",1984-04-11,1997-11-10,90,Fresh,70,20,Upright,64,24180,4,14,6
Friday the 13th - The Final Chapter,R,Horror,1984-04-13,2000-10-17,90,Rotten,20,30,Spilled,50,65196,2,6,24
The Bounty,PG,"Action & Adventure, Drama",1984-05-04,2000-11-21,130,Fresh,78,18,Upright,72,10323,4,14,4
Firestarter,R,"Horror, Mystery & Suspense, Science Fiction & Fantasy",1984-05-11,2014-09-02,115,Rotten,35,26,Spilled,53,55068,2,9,17
The Natural,PG,Drama,1984-05-11,2001-04-03,132,Fresh,82,38,Upright,88,37729,8,31,7
